komentar_preprocessing,label,Nomor
work astonishing delicacy force,positive,4057
one set sense humor nerve speak,negative,4058
spy funny enough exciting enough would fairly simple forgive financial extortion trying reap moviegoing public,negative,4059
nothing denis made like beau travil nenette et boni could prepare u gory perverted sex soaked riff cannibal genre,positive,4060
getting harder harder ignore fact hollywood laughing u folk laughing u,negative,4061
perfect show respect one underrated professional deserve rarely receive,positive,4062
sayles making statement inability dream aspiration carry forward next generation,positive,4063
interesante disfrutable trabajo gracias que prescinde del cl sico elemento estadounidense patriotero manipulador,positive,4064
end weight water come resemble kind soft core twaddle expect see showtime red shoe diary,negative,4065
well acted well intentioned snoozer,negative,4066
beautiful image solemn word cannot disguise slack complacency godard vision gorgeous piano string soundtrack drown tinny self righteousness voice,negative,4067
terrific nadia russian mail order bride come america speaking word english kidman hold film together supremely kittenish performance gradually accumulates layer,positive,4068
someone else,negative,4069
time machine movie interest believe sense humor plain bored,negative,4070
mildly amusing certainly recommend,negative,4071
eight legged freak big hairy deal,negative,4072
effective tepid biopic,positive,4073
pretentious mess,negative,4074
le front loaded shapely two hour version released,positive,4075
flee might seduced laugh flee,positive,4076
picture unfamiliar manages find new avenue discourse old problem,positive,4077
problem mayhem formula offensive boring,negative,4078
appears something lost translation screen,negative,4079
sadly though many actor throw spark two first appear generate enough heat cold vacuum comedy start reaction,negative,4080
love way took chance really asks take great leap faith pay,positive,4081
chateau one funny joke decent one amount mildly funny sometimes tedious ultimately insignificant film,negative,4082
whatever movie sentimental hypocritical lesson sexism true color come various wet shirt shower scene,negative,4083
film might satisfying fact fleshed little instead going easy smile,negative,4084
little play innocuous game fill blank tragic past,negative,4085
movie mix cornpone cosa nostra find nice rhythm,positive,4086
one well timed explosion movie knockout hundred numbing proof ballistic eck v sever,negative,4087
nearly three hour whole safe conduct le sum part,positive,4088
fudge fact fancy confidence feel seeing something purer real thing,positive,4089
definitely worth minute time,positive,4090
kind movie see theater air conditioning,negative,4091
nick seemingly uncertain going make people laugh run gamut stale parody raunchy sex gag formula romantic comedy,negative,4092
anyone get chill movie giant plot hole find plenty shake shiver ring,negative,4093
bowling columbine remains disquieting thought provoking film,positive,4094
look closely insightfully fragile complex relationship,positive,4095
film ultimately inspiring hallmark card,negative,4096
tone shift abruptly tense celebratory soppy,negative,4097
give real money see perpetrator chicago torn apart dingo,negative,4098
great american comedy liked previous movie series good time one,negative,4099
comedy premise often hackneyed plain crude calculated provoke shocked laughter without following deeper level,negative,4100
excruciating minute one might sit summer involve dentist drill,negative,4101
one intelligent child movie hit theater year,positive,4102
worst screenplay callow best young artist thoughtful consideration fatherhood,positive,4103
